month,value
2014-04-01,383796.0
2014-05-01,408258.0
2014-06-01,385463.0
2014-07-01,394680.0
2014-08-01,401432.0
2014-09-01,374381.0
2014-10-01,388364.0
2014-11-01,391470.0
2014-12-01,451049.0
2015-01-01,350274.0
2015-02-01,341829.0
2015-03-01,393097.0
2015-04-01,387360.0
2015-05-01,409460.0
2015-06-01,397804.0
2015-07-01,406543.0
2015-08-01,404903.0
2015-09-01,381959.0
2015-10-01,392551.0
2015-11-01,395988.0
2015-12-01,463894.0
2016-01-01,351667.0
2016-02-01,363412.0
2016-03-01,404873.0
2016-04-01,394629.0
2016-05-01,412916.0
2016-06-01,409963.0
2016-07-01,405871.0
2016-08-01,416410.0
2016-09-01,394122.0
2016-10-01,397328.0
2016-11-01,413841.0
2016-12-01,481923.0
2017-01-01,369068.0
2017-02-01,365596.0
2017-03-01,423024.0
2017-04-01,407275.0
2017-05-01,434531.0
2017-06-01,423102.0
2017-07-01,416927.0
2017-08-01,431816.0
2017-09-01,412534.0
2017-10-01,417757.0
2017-11-01,441896.0
2017-12-01,496688.0
2018-01-01,389624.0
2018-02-01,380456.0
2018-03-01,444725.0
2018-04-01,420206.0
2018-05-01,464422.0
2018-06-01,443762.0
2018-07-01,441712.0
2018-08-01,456103.0
2018-09-01,417148.0
2018-10-01,442154.0
2018-11-01,459625.0
2018-12-01,493444.0
2019-01-01,399276.0
2019-02-01,384814.0
2019-03-01,446781.0
2019-04-01,442504.0
2019-05-01,475630.0
2019-06-01,448131.0
2019-07-01,461608.0
2019-08-01,472933.0
2019-09-01,428472.0
2019-10-01,455157.0
2019-11-01,467368.0
2019-12-01,518796.0
2020-01-01,417244.0
2020-02-01,413857.0
2020-03-01,425698.0
2020-04-01,376261.0
2020-05-01,461122.0
2020-06-01,478936.0
2020-07-01,492070.0
2020-08-01,486727.0
2020-09-01,473267.0
2020-10-01,493034.0
2020-11-01,490451.0
2020-12-01,557046.0
2021-01-01,461994.0
2021-02-01,437538.0
2021-03-01,560731.0
2021-04-01,554610.0
2021-05-01,565431.0
2021-06-01,557682.0
2021-07-01,552194.0
2021-08-01,549895.0
2021-09-01,528288.0
2021-10-01,552729.0
2021-11-01,573608.0
2021-12-01,625145.0
2022-01-01,514659.0
2022-02-01,505128.0
2022-03-01,595064.0
2022-04-01,592577.0
2022-05-01,612080.0
2022-06-01,605074.0
2022-07-01,595135.0
2022-08-01,608423.0
2022-09-01,572457.0
2022-10-01,591560.0
2022-11-01,599732.0
2022-12-01,649106.0
2023-01-01,545318.0
2023-02-01,526218.0
2023-03-01,600348.0
2023-04-01,584626.0
2023-05-01,627266.0
2023-06-01,608430.0
2023-07-01,601631.0
2023-08-01,624457.0
2023-09-01,589258.0
2023-10-01,604435.0
2023-11-01,619189.0
2023-12-01,668957.0
2024-01-01,552441.0
2024-02-01,555528.0
2024-03-01,609462.0
2024-04-01,605419.0
2024-05-01,643843.0
2024-06-01,604360.0
2024-07-01,629309.0
2024-08-01,633664.0
2024-09-01,589777.0
2024-10-01,633013.0
2024-11-01,641949.0
2024-12-01,702255.0
